month,dln_cpi,dln_gengi,dln_eu_ppi,cum_brent,cum_cpi,cum_gengi,cum_eu_ppi,shock_pct,duration,shock_label
2,0.0011143225622476651,0.014357739992223499,0.004162391356293169,40.546510810816436,0.5697057017922501,1.5035176665622512,2.24194803874238,50,3 months,+50%
3,0.0021958245121787403,0.00787853475796309,-0.009512208445619908,0,0.7892881530101241,2.29137114235856,1.290727194180389,50,3 months,+50%
4,8.814373939420792e-5,0.001293141568980631,-0.0033201987825200304,0,0.798102526949545,2.4206852992566232,0.9587073159283862,50,3 months,+50%
5,0.0011433938418902933,-0.01070049135412171,-0.0023234629051661747,0,0.9124419111385742,1.3506361638444522,0.7263610254117686,50,3 months,+50%
6,-0.0021088741030657965,-0.0038747838698824236,-0.0017503038404743342,0,0.7015545008319946,0.9631577768562098,0.5513306413643352,50,3 months,+50%
7,-0.0010367482637620856,4.7634166110569615e-4,-0.001261350628660081,0,0.597879674455786,1.0107919429667795,0.4251955784983271,50,3 months,+50%
8,-7.793016623961237e-4,-7.044810445307045e-4,-0.001067140866714755,0,0.5199495082161737,0.9403438385137088,0.3184814918268516,50,3 months,+50%
9,-7.361637638012872e-4,-7.502711579574616e-4,-8.821085630821152e-4,0,0.446333131836045,0.8653167227179628,0.2302706355186401,50,3 months,+50%
10,-4.584997359983285e-4,3.414046443071658e-4,-6.422263459743027e-4,0,0.40048315823621217,0.8994571871486792,0.16604800092120983,50,3 months,+50%
11,-3.751717251197382e-4,-1.6120822173518266e-4,-5.58452622978059e-4,0,0.3629659857242383,0.8833363649751611,0.11020273862340393,50,3 months,+50%
12,-3.229695442519692e-4,-4.1006590064737725e-4,-4.391183765891562e-4,0,0.3306690312990414,0.8423297749104233,0.06629090096448831,50,3 months,+50%
0,0.0019918204997279474,-1.2659191500385449e-4,0.012689792161481656,40.546510810816436,0.19918204997279473,-0.012659191500385449,1.2689792161481657,50,6 months,+50%
1,0.0025909139559468887,8.040285884028664e-4,0.005567296869648975,40.546510810816436,0.4582734455674836,0.0677436673399012,1.825708903113063,50,6 months,+50%
2,0.0011143225622476651,0.014357739992223499,0.004162391356293169,40.546510810816436,0.5697057017922501,1.5035176665622512,2.24194803874238,50,6 months,+50%
3,0.0041876450119066886,0.007751942842959234,0.003177583715861748,40.546510810816436,0.988470202982919,2.2787119508581744,2.559706410328555,50,6 months,+50%
4,0.002679057695341095,0.0020971701573834836,0.0022470980871289424,40.546510810816436,1.2563759725170285,2.4884289665965227,2.7844162190414488,50,6 months,+50%
5,0.0022577164041379556,0.003657248638101789,0.0018389284511269915,40.546510810816436,1.4821476129308242,2.854153830406702,2.9683090641541483,50,6 months,+50%
6,8.695040911294331e-5,0.004003750888080647,-0.011262512286094244,0,1.4908426538421182,3.254528919214766,1.8420578355447237,50,6 months,+50%
7,-9.48604524367882e-4,0.0017694832300862787,-0.004581549411180115,0,1.3959822014053302,3.4314772422233943,1.3839028944267122,50,6 months,+50%
8,3.640921794941625e-4,-0.011404972398652465,-0.003390603771880933,0,1.4323914193547465,2.2909800023581477,1.0448425172386189,50,6 months,+50%
9,-0.002845037866867091,-0.004625055027839872,-0.0026324124035564463,0,1.1478876326680372,1.8284744995741606,0.7816012768829743,50,6 months,+50%
10,-0.0014952479997604163,8.177463054128203e-4,-0.001903576974634386,0,0.9983628326919958,1.9102491301154427,0.5912435794195356,50,6 months,+50%
